body_temperature,breed_type,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,faecal_consistency,health_status
38.2,Normal Breed,11.4,30,11856,4.1,3,81,2.8,14.7,4.3,3,ideal,healthy
38.6,Cross Breed,11.8,14,11203,4.7,5,75,2.7,13.4,5.4,3,ideal,healthy
38.2,Normal Breed,15.9,39,10673,3.3,2,83,2.8,14.2,4.0,3,very liquid faeces,healthy
39.6,Normal Breed,11.6,23,5426,6.4,5,47,1.3,13.6,6.3,3,Fresh blood in faeces,healthy
38.9,Normal Breed,21.8,40,10126,4.4,2,82,1.7,13.8,5.2,3,ideal,healthy
40.6,Cross Breed,10.0,19,5004,7.2,5,45,1.3,15.7,3.6,2,Black faeces,unhealthy
39.2,Normal Breed,12.6,14,5004,7.2,3,45,1.6,16.2,4.1,3,Black faeces,unhealthy
38.7,Cross Breed,23.2,27,5004,7.2,3,58,2.8,13.3,4.8,2,ideal,unhealthy
38.2,Cross Breed,13.6,28,12622,4.1,3,83,2.3,13.8,5.9,2,ideal,healthy
38.1,Cross Breed,26.5,34,11149,4.0,5,82,2.3,15.0,6.0,3,ideal,healthy
39.6,Cross Breed,6.4,16,5645,7.2,3,50,1.7,16.4,3.3,3,Fresh blood in faeces,unhealthy
38.0,Normal Breed,26.5,27,11656,4.2,3,75,2.2,14.4,5.6,2,ideal,healthy
39.2,Normal Breed,10.4,27,5004,6.8,2,46,1.3,16.4,3.9,2,very liquid faeces,unhealthy
39.0,Cross Breed,5.1,14,5890,6.9,5,52,1.4,16.4,3.3,2,Black faeces,unhealthy
38.3,Cross Breed,8.9,20,11148,4.0,5,83,1.6,13.7,6.5,2,ideal,healthy
38.4,Normal Breed,12.7,29,10900,4.6,5,83,3.4,14.8,6.3,3,ideal,healthy
40.0,Normal Breed,5.1,27,5004,7.2,3,50,1.3,16.4,3.0,1,Black faeces,unhealthy
38.0,Normal Breed,8.8,14,11833,4.2,3,76,2.2,13.1,5.4,2,ideal,healthy
40.0,Cross Breed,11.2,16,5004,7.0,5,45,1.3,15.9,3.0,2,extremely firm,unhealthy
38.6,Cross Breed,22.9,43,10472,4.2,5,83,3.2,14.1,6.2,3,ideal,healthy
38.3,Normal Breed,19.8,34,11074,4.2,2,64,3.9,14.0,4.7,3,ideal,healthy
39.7,Normal Breed,5.1,22,5004,6.5,5,47,1.6,16.4,3.0,1,Black faeces,unhealthy
40.2,Normal Breed,15.4,24,11078,3.7,2,53,3.2,14.2,3.0,2,ideal,healthy
40.2,Normal Breed,10.2,22,10474,4.0,5,83,2.5,12.8,5.5,2,ideal,healthy
38.4,Cross Breed,20.4,45,11566,3.4,3,73,2.9,15.4,5.5,3,ideal,healthy
38.8,Cross Breed,19.4,26,10978,4.2,3,74,3.4,13.6,5.3,4,ideal,healthy
38.1,Normal Breed,14.1,16,11963,7.2,5,83,2.8,14.7,3.8,3,Black faeces,unhealthy
38.2,Normal Breed,25.0,29,10827,4.5,3,78,2.0,14.9,6.4,3,ideal,healthy
39.2,Cross Breed,5.1,14,5004,7.2,3,48,1.3,16.4,3.7,2,extremely firm,unhealthy
39.5,Normal Breed,16.3,14,12268,7.0,5,49,2.8,14.6,5.9,3,Fresh blood in faeces,unhealthy
40.3,Normal Breed,5.1,22,5004,7.0,2,57,2.2,16.4,3.0,1,Fresh blood in faeces,unhealthy
38.2,Normal Breed,26.1,31,11603,4.4,5,83,2.7,14.7,5.3,2,ideal,healthy
39.8,Normal Breed,7.9,16,5068,7.2,2,46,2.0,15.5,4.8,3,Fresh blood in faeces,unhealthy
38.6,Normal Breed,12.9,17,10130,3.7,3,81,2.4,14.6,7.0,4,ideal,healthy
38.0,Normal Breed,21.1,24,11670,6.4,2,57,1.8,15.2,4.9,2,extremely firm,healthy
40.1,Normal Breed,11.9,34,11082,4.3,2,54,1.7,14.5,5.2,3,ideal,healthy
40.3,Normal Breed,5.1,19,5004,7.2,2,51,2.1,15.7,3.5,3,Fresh blood in faeces,unhealthy
40.2,Normal Breed,5.9,14,5004,7.2,2,48,2.8,15.8,6.2,3,Fresh blood in faeces,unhealthy
38.6,Cross Breed,5.1,14,13072,4.3,5,75,2.1,13.9,5.3,3,ideal,healthy
38.4,Normal Breed,13.3,14,10594,4.2,5,49,3.0,15.8,4.5,3,Black faeces,unhealthy
38.3,Normal Breed,18.8,26,11063,4.9,5,83,2.0,14.1,5.4,2,ideal,healthy
38.6,Cross Breed,5.5,28,5549,4.4,2,69,2.9,15.0,3.2,3,ideal,unhealthy
39.1,Normal Breed,12.0,14,5899,7.0,2,45,1.9,16.4,3.0,2,Black faeces,unhealthy
39.3,Normal Breed,11.2,16,6268,7.0,2,47,1.3,16.4,4.4,2,Black faeces,unhealthy
39.7,Normal Breed,5.1,14,5004,7.2,2,49,1.3,16.4,3.0,1,Fresh blood in faeces,unhealthy
38.8,Normal Breed,12.3,24,5004,4.5,5,38,3.8,15.3,4.3,3,ideal,healthy
39.6,Normal Breed,18.1,21,5004,7.2,5,49,1.3,16.4,7.0,2,Black faeces,unhealthy
40.2,Cross Breed,9.9,14,5004,3.2,2,62,2.1,13.6,4.1,2,ideal,unhealthy
39.8,Normal Breed,14.2,17,5642,6.5,2,42,2.9,13.4,3.0,1,ideal,unhealthy
39.6,Normal Breed,5.1,22,5761,6.8,2,43,2.0,15.5,4.1,3,Fresh blood in faeces,unhealthy
40.0,Normal Breed,13.3,23,5337,6.9,5,48,1.6,15.1,4.0,3,Fresh blood in faeces,unhealthy
39.6,Normal Breed,5.1,14,5004,6.9,2,56,1.6,16.4,3.0,1,Fresh blood in faeces,unhealthy
39.6,Cross Breed,7.1,14,5004,7.2,3,45,1.7,16.4,3.4,2,Fresh blood in faeces,unhealthy
39.6,Cross Breed,12.9,14,5004,7.2,3,45,1.3,15.7,3.1,2,very liquid faeces,unhealthy
38.3,Cross Breed,12.9,24,10506,4.0,2,83,1.8,14.3,6.1,2,ideal,healthy
38.2,Normal Breed,13.6,45,12628,3.4,2,83,2.2,14.3,6.4,3,extremely firm,healthy
39.8,Normal Breed,5.1,17,5004,7.2,2,55,2.1,14.6,4.3,3,Black faeces,unhealthy
38.5,Cross Breed,12.4,21,5024,6.8,3,48,2.7,16.4,3.0,1,Fresh blood in faeces,unhealthy
37.9,Normal Breed,11.7,25,12583,3.3,3,77,1.9,14.2,3.0,3,Black faeces,unhealthy
40.0,Normal Breed,6.8,14,5124,6.3,2,47,1.6,16.4,3.7,3,Fresh blood in faeces,unhealthy
39.9,Cross Breed,5.1,29,5004,7.2,2,57,1.4,16.4,3.0,2,Black faeces,unhealthy
40.3,Cross Breed,5.1,16,5004,7.2,3,52,1.9,16.4,3.0,2,extremely firm,unhealthy
39.7,Normal Breed,5.1,17,5753,6.8,2,50,1.7,15.3,3.4,2,ideal,unhealthy
39.5,Normal Breed,7.7,28,5004,6.9,1,56,1.3,16.4,3.0,2,Black faeces,unhealthy
40.1,Cross Breed,10.7,26,5004,7.2,5,47,2.1,15.4,3.6,1,Black faeces,unhealthy
39.5,Cross Breed,13.7,25,5060,3.8,5,52,1.8,16.4,5.7,2,Black faece,unhealthy
38.7,Normal Breed,21.7,43,11612,3.8,5,74,1.4,12.9,6.3,3,ideal,healthy
40.6,Cross Breed,5.1,25,5004,7.2,2,49,1.3,16.0,4.4,1,extremely firm,unhealthy
40.0,Normal Breed,9.7,14,5004,7.2,2,44,1.3,16.4,3.0,3,very liquid faeces,unhealthy
40.1,Cross Breed,5.1,16,5822,7.2,3,45,2.1,16.4,3.0,2,extremely firm,unhealthy
40.6,Cross Breed,8.6,29,10464,4.3,2,63,2.5,12.4,6.8,3,ideal,healthy
40.0,Normal Breed,9.0,19,5004,7.0,3,49,1.6,16.4,3.0,2,Black faeces,unhealthy
39.9,Cross Breed,10.9,23,5004,7.2,3,48,1.3,15.0,3.4,1,Black faeces,unhealthy
40.5,Cross Breed,10.8,14,5004,7.2,5,57,2.7,16.4,4.1,3,Black faeces,unhealthy
38.8,Cross Breed,10.4,41,11418,3.2,5,70,2.5,14.1,5.2,3,ideal,healthy
40.1,Normal Breed,26.5,26,10904,7.2,2,58,2.5,14.7,4.0,3,Fresh blood in faeces,unhealthy
39.0,Normal Breed,21.2,49,10511,4.8,5,79,2.1,14.2,5.9,3,ideal,healthy
38.5,Normal Breed,25.9,38,11179,4.1,5,81,2.0,13.3,6.9,3,ideal,healthy
39.8,Normal Breed,5.1,19,5004,6.8,5,50,1.7,16.4,3.1,3,extremely firm,unhealthy
39.9,Normal Breed,16.6,29,5067,7.1,3,47,1.4,16.4,5.8,3,ideal,healthy
40.0,Cross Breed,6.1,20,5004,7.2,5,53,1.6,15.8,5.2,3,Black faeces,healthy
40.2,Cross Breed,7.0,22,11540,7.2,3,49,2.0,16.4,5.2,1,Black faeces,healthy
40.1,Normal Breed,5.1,14,5049,7.2,3,46,1.4,16.4,3.5,2,extremely firm,unhealthy
39.4,Cross Breed,5.1,15,5004,7.1,2,46,1.7,15.3,4.6,2,ideal,unhealthy
39.5,Normal Breed,14.4,17,5004,3.6,2,53,1.3,15.9,3.8,2,Black faeces,unhealthy
38.5,Normal Breed,26.5,42,11281,3.8,5,68,2.0,14.5,5.0,2,ideal,healthy
38.2,Normal Breed,18.6,35,12248,4.7,5,75,1.6,12.7,5.9,3,ideal,healthy
39.3,Normal Breed,5.1,14,6042,7.2,2,46,1.3,16.3,3.5,1,extremely firm,unhealthy
38.6,Normal Breed,12.0,32,10743,4.5,5,83,1.3,13.9,6.8,2,Fresh blood in faeces,healthy
40.2,Normal Breed,13.8,15,5104,7.2,2,47,1.7,15.5,3.0,2,Fresh blood in faeces,unhealthy
38.2,Cross Breed,7.7,41,11437,4.9,5,83,4.0,13.4,5.5,3,ideal,healthy
39.7,Cross Breed,5.1,16,5004,7.2,2,49,1.7,16.4,3.0,2,very liquid faeces,unhealthy
38.3,Cross Breed,11.9,25,11060,4.6,5,67,3.2,14.4,5.7,2,Fresh blood in faeces,healthy
39.7,Normal Breed,8.2,26,5004,6.7,2,54,1.7,16.4,3.7,3,Black faeces,unhealthy
40.5,Normal Breed,12.8,20,5673,4.3,5,46,1.9,13.7,6.8,3,Black faeces,unhealthy
38.6,Normal Breed,12.6,28,12877,4.6,3,52,3.8,12.3,5.6,3,ideal,healthy
40.2,Normal Breed,10.4,26,5004,7.2,3,48,1.6,16.1,4.1,2,extremely firm,unhealthy
38.5,Cross Breed,19.7,42,11574,3.6,5,57,4.0,12.6,4.9,3,ideal,healthy
38.6,Normal Breed,12.4,14,10631,5.1,5,51,2.7,9.8,5.8,2,extremely firm,unhealthy
38.2,Normal Breed,18.6,42,12024,3.8,3,79,2.6,13.6,5.3,4,ideal,healthy
38.3,Normal Breed,16.6,21,10599,3.8,2,83,1.9,14.2,6.1,3,ideal,healthy
40.4,Normal Breed,11.7,30,5004,7.2,2,52,1.7,16.2,4.3,3,Black faeces,healthy
39.4,Normal Breed,9.1,18,5539,7.2,5,51,1.3,15.7,3.4,3,extremely firm,unhealthy
38.3,Cross Breed,20.5,39,12100,3.8,2,80,2.2,12.7,6.0,4,ideal,healthy
40.1,Cross Breed,5.1,18,5004,7.2,2,50,1.9,16.2,3.4,1,Fresh blood in faeces,unhealthy
38.8,Normal Breed,13.0,26,5004,4.3,5,52,2.6,16.1,4.2,2,ideal,healthy
38.3,Normal Breed,21.3,40,10554,3.7,2,77,2.4,14.6,5.2,4,ideal,healthy
39.6,Normal Breed,5.4,26,5004,7.2,3,53,1.3,16.4,4.7,2,Black faeces,unhealthy
38.3,Cross Breed,9.2,33,10206,3.5,3,83,2.0,14.4,5.4,3,ideal,healthy
39.4,Normal Breed,14.2,14,5004,4.4,2,71,2.3,14.2,5.8,4,ideal,healthy
39.7,Normal Breed,14.7,14,5004,6.8,5,50,1.4,15.9,5.0,3,Fresh blood in faeces,unhealthy
40.5,Cross Breed,5.1,14,5004,6.6,2,51,1.4,16.4,3.0,3,Black faeces,unhealthy
39.6,Cross Breed,5.1,20,11841,7.2,2,53,1.3,16.4,3.0,3,very liquid faeces,unhealthy
38.3,Cross Breed,12.5,23,5004,6.4,3,54,1.8,14.1,3.0,2,ideal,healthy
40.2,Cross Breed,10.8,14,5326,7.2,2,50,2.0,15.9,3.9,3,very liquid faeces,unhealthy
39.8,Cross Breed,8.6,15,5601,4.6,5,37,1.7,15.5,3.5,3,ideal,healthy
39.6,Cross Breed,5.1,14,5004,7.2,3,52,1.3,16.4,3.0,1,Fresh blood in faeces,unhealthy
38.5,Cross Breed,8.6,35,11010,4.9,3,73,3.2,13.9,5.5,3,extremely firm,healthy
38.0,Normal Breed,26.5,18,11652,4.5,5,43,2.5,14.3,5.9,2,ideal,healthy
38.6,Normal Breed,12.4,35,11203,7.1,2,73,1.3,12.8,5.6,2,ideal,healthy
39.9,Normal Breed,13.5,14,5004,7.2,3,53,1.3,16.4,5.3,3,Black faeces,unhealthy
39.9,Normal Breed,6.8,14,5077,7.2,5,44,2.1,16.2,3.3,1,very liquid faeces,unhealthy
38.4,Normal Breed,24.6,39,12007,4.1,2,77,2.6,13.6,5.9,3,ideal,healthy
39.7,Normal Breed,14.2,14,5004,7.2,3,42,1.9,15.6,3.0,1,Fresh blood in faeces,unhealthy
36.9,Normal Breed,11.7,16,5004,7.2,3,51,1.3,15.8,3.8,2,Black faeces,unhealthy
38.7,Normal Breed,23.0,32,10928,3.8,5,83,1.8,14.0,6.5,3,ideal,healthy
40.3,Normal Breed,5.1,18,5004,7.1,2,48,1.4,16.2,4.2,1,Fresh blood in faeces,unhealthy
38.2,Normal Breed,15.2,38,11220,4.0,5,73,2.5,14.6,6.0,3,ideal,healthy
40.4,Normal Breed,7.4,14,5004,4.5,3,52,2.8,13.6,6.8,3,extremely firm,unhealthy
40.4,Normal Breed,7.3,16,5004,7.2,5,43,2.2,16.1,3.7,3,Fresh blood in faeces,unhealthy
37.9,Cross Breed,17.0,34,12717,4.1,2,59,2.9,14.3,5.8,2,ideal,healthy
39.5,Cross Breed,15.9,14,5004,4.4,5,52,2.2,14.8,7.0,2,ideal,unhealthy
40.3,Cross Breed,9.3,16,5423,7.2,5,46,2.7,15.2,5.1,3,extremely firm,unhealthy
39.7,Cross Breed,5.1,14,5004,6.9,2,53,2.0,15.0,4.6,2,Black faeces,unhealthy
38.3,Cross Breed,9.4,39,11699,4.1,3,76,2.4,13.6,3.0,3,ideal,healthy
40.0,Cross Breed,11.9,25,5769,6.9,5,47,3.4,13.6,5.0,3,very liquid faeces,unhealthy
39.9,Normal Breed,9.2,15,5004,7.2,2,50,1.3,14.4,3.0,2,Fresh blood in faeces,unhealthy
39.9,Normal Breed,14.6,14,5004,7.2,2,48,1.7,16.4,4.2,2,Black faeces,unhealthy
38.2,Normal Breed,14.1,38,12614,3.8,3,77,3.5,14.3,4.8,3,ideal,healthy
38.6,Normal Breed,11.7,34,11622,4.6,2,74,2.4,12.9,6.4,2,ideal,healthy
39.6,Normal Breed,5.1,14,5004,7.0,2,46,1.3,16.4,4.1,2,extremely firm,unhealthy
38.5,Cross Breed,21.5,20,5004,6.9,3,54,1.3,14.7,4.3,1,Fresh blood in faeces,unhealthy
39.9,Cross Breed,5.1,14,10731,7.2,2,45,3.1,16.4,4.6,3,Black faeces,unhealthy
39.1,Normal Breed,5.1,14,5004,7.2,3,51,1.6,16.1,3.0,2,Black faeces,unhealthy
38.8,Normal Breed,8.9,40,11198,4.7,5,55,3.0,13.1,6.1,4,ideal,healthy
39.6,Cross Breed,5.1,15,5999,7.2,3,57,2.0,16.4,3.7,3,Black faeces,unhealthy
39.5,Normal Breed,5.9,19,5117,7.2,2,52,1.9,16.4,3.2,3,very liquid faeces,unhealthy
40.3,Cross Breed,5.1,14,5004,7.2,2,51,1.3,16.1,3.8,2,very liquid faeces,unhealthy
38.7,Normal Breed,17.2,22,10848,4.5,2,56,2.0,13.0,4.4,4,ideal,healthy
39.5,Cross Breed,10.5,16,5684,6.8,2,50,1.5,16.4,3.0,2,Fresh blood in faeces,unhealthy
40.1,Cross Breed,10.6,31,10835,3.7,1,83,1.7,13.9,4.3,3,ideal,healthy
40.1,Cross Breed,5.1,14,5133,7.2,2,45,1.3,14.9,3.3,3,ideal,unhealthy
38.8,Cross Breed,20.1,15,10341,7.2,1,73,2.2,13.5,4.9,2,extremely firm,unhealthy
38.1,Normal Breed,16.6,21,11106,3.6,5,71,2.7,14.4,5.1,3,ideal,healthy
38.5,Cross Breed,20.7,47,11756,4.5,2,78,3.3,13.9,5.4,2,ideal,healthy
38.4,Normal Breed,12.6,19,10521,6.3,2,77,1.9,14.2,4.9,2,Fresh blood in faeces,unhealthy
38.2,Normal Breed,13.7,30,11213,4.6,3,65,2.4,14.6,5.6,3,Black faeces,healthy
39.9,Cross Breed,5.3,20,5004,7.2,2,42,1.8,16.4,3.0,1,Black faeces,unhealthy
39.4,Normal Breed,13.3,18,5051,6.3,2,50,1.9,16.4,4.5,1,extremely firm,healthy
39.5,Cross Breed,5.1,16,5526,7.2,5,55,1.9,16.4,3.0,3,very liquid faeces,unhealthy
39.6,Cross Breed,5.1,18,6254,7.2,3,55,1.3,16.4,3.6,2,Fresh blood in faeces,unhealthy
38.3,Cross Breed,22.5,43,11299,4.1,5,80,2.7,14.9,5.6,3,ideal,healthy
38.7,Cross Breed,24.7,38,11151,3.6,5,79,2.9,14.5,6.0,4,ideal,healthy
38.4,Normal Breed,16.0,24,10915,4.4,3,57,1.3,13.5,7.0,1,Black faeces,unhealthy
40.2,Normal Breed,9.0,17,11699,3.2,3,83,2.0,13.0,5.5,3,very liquid faeces,unhealthy
39.7,Normal Breed,8.9,14,5889,7.2,3,45,2.1,16.4,3.2,1,very liquid faeces,unhealthy
40.0,Cross Breed,6.9,15,5004,6.8,2,54,1.9,16.0,5.4,3,extremely firm,unhealthy
40.4,Normal Breed,5.1,14,5004,7.2,5,50,1.9,16.2,3.5,3,extremely firm,unhealthy
38.5,Normal Breed,8.4,14,10917,6.9,3,83,2.9,16.4,4.3,2,Black faece,healthy
38.8,Cross Breed,26.1,23,10587,4.4,2,83,3.5,13.6,6.2,2,ideal,healthy
39.8,Cross Breed,5.1,14,5246,6.5,3,50,1.8,15.9,3.4,2,very liquid faeces,unhealthy
40.1,Cross Breed,5.1,14,5004,7.2,2,57,2.6,16.1,3.3,3,Black faece,unhealthy
40.1,Normal Breed,13.0,14,5741,4.4,5,61,2.3,16.3,5.3,3,ideal,unhealthy
40.5,Cross Breed,7.9,16,5004,6.8,5,43,2.3,16.4,3.0,2,extremely firm,unhealthy
39.6,Cross Breed,10.9,30,5004,3.0,3,79,2.3,14.2,6.2,4,ideal,unhealthy
40.0,Normal Breed,12.5,41,13169,4.5,5,71,2.1,14.5,3.3,4,extremely firm,healthy
39.9,Cross Breed,5.1,19,5004,6.2,2,47,2.1,16.0,3.8,1,very liquid faeces,unhealthy
38.6,Cross Breed,12.3,31,12442,4.3,5,76,3.5,14.0,6.0,2,ideal,healthy
39.9,Cross Breed,11.2,19,5004,7.2,3,42,2.1,15.7,4.7,1,very liquid faeces,unhealthy
39.3,Normal Breed,5.3,14,5519,7.2,5,47,1.7,16.4,3.0,2,Fresh blood in faeces,unhealthy
39.6,Normal Breed,16.1,14,5004,7.2,3,49,1.4,16.4,4.9,1,extremely firm,unhealthy
38.7,Normal Breed,19.0,43,10725,4.7,2,54,3.7,13.0,4.9,3,ideal,healthy
38.6,Cross Breed,5.1,16,8519,3.4,3,74,2.2,13.1,5.6,2,ideal,healthy
39.3,Normal Breed,9.4,14,5004,7.2,2,53,1.3,16.4,4.4,2,Black faeces,unhealthy
38.5,Cross Breed,26.5,49,10360,3.3,2,73,1.5,13.8,6.6,3,ideal,healthy
38.4,Cross Breed,5.1,39,11480,4.6,3,50,2.6,12.3,3.8,1,Black faece,healthy
39.1,Normal Breed,8.2,15,5004,6.3,2,55,1.3,16.4,4.3,3,Black faeces,unhealthy
39.7,Normal Breed,13.3,23,11603,4.3,2,83,3.7,14.6,7.0,3,ideal,healthy
38.4,Normal Breed,11.2,15,5004,7.1,3,45,1.3,14.7,4.9,1,extremely firm,unhealthy
40.2,Normal Breed,5.1,14,5004,7.1,3,45,1.3,16.4,3.0,1,very liquid faeces,unhealthy
38.8,Cross Breed,8.6,31,10361,4.3,3,69,2.7,14.1,6.3,2,ideal,healthy
40.1,Normal Breed,5.7,14,5004,7.2,3,47,2.0,16.3,4.7,3,very liquid faeces,unhealthy
39.8,Cross Breed,5.1,14,5004,6.5,3,54,1.3,16.4,3.0,2,Fresh blood in faeces,unhealthy
40.6,Cross Breed,5.1,28,10553,4.2,5,66,2.9,15.1,4.2,3,ideal,healthy
38.7,Normal Breed,26.5,32,11415,4.6,5,66,4.2,14.2,6.2,3,ideal,healthy
39.4,Normal Breed,8.8,20,5004,7.2,2,49,1.8,16.3,4.8,2,Black faeces,unhealthy
39.7,Cross Breed,10.1,19,10753,7.2,5,49,3.1,16.4,3.3,4,ideal,healthy
40.1,Normal Breed,9.5,14,5004,7.2,2,40,1.3,16.0,3.0,3,extremely firm,unhealthy
38.3,Normal Breed,9.9,21,7797,3.5,2,83,3.4,14.1,5.5,2,Black faeces,unhealthy
39.4,Normal Breed,5.1,17,5004,7.2,3,48,1.4,16.4,3.0,2,ideal,unhealthy
40.1,Normal Breed,5.1,17,5004,6.4,2,55,1.3,16.4,3.0,3,Black faeces,unhealthy
39.9,Normal Breed,9.0,14,5260,7.2,2,43,1.9,15.6,6.0,3,extremely firm,unhealthy
38.3,Cross Breed,18.9,38,12631,3.5,5,78,3.1,13.7,3.8,5,ideal,healthy
38.7,Cross Breed,23.0,35,11812,4.0,2,53,2.4,13.7,4.9,2,ideal,healthy
38.2,Cross Breed,10.5,34,10459,4.1,3,46,2.6,14.7,5.8,3,ideal,unhealthy
38.8,Cross Breed,16.6,39,12025,4.1,5,57,3.7,14.1,6.0,4,ideal,healthy
40.0,Normal Breed,9.3,14,5004,7.2,3,47,1.3,16.4,3.9,2,Black faece,unhealthy
39.7,Cross Breed,12.2,26,5118,7.2,5,51,1.3,16.3,3.0,3,extremely firm,unhealthy
39.5,Normal Breed,5.1,22,7131,7.2,5,46,1.7,16.1,3.0,3,Black faeces,unhealthy
35.5,Normal Breed,15.6,34,11975,3.2,5,83,2.7,14.6,4.5,2,ideal,healthy
38.2,Normal Breed,20.3,38,11795,3.5,2,62,2.5,14.0,4.6,3,ideal,healthy
39.3,Normal Breed,8.9,14,5004,6.5,3,49,1.5,16.0,3.3,2,extremely firm,unhealthy
38.9,Normal Breed,5.1,14,6219,6.5,4,52,1.3,16.4,3.0,1,extremely firm,unhealthy
39.3,Normal Breed,6.4,17,5004,6.7,3,55,1.5,16.4,3.5,2,Black faeces,unhealthy
39.9,Normal Breed,13.0,14,5280,3.5,3,50,1.4,15.9,5.8,3,ideal,unhealthy
39.0,Normal Breed,21.3,43,11172,4.1,3,52,1.9,14.6,6.3,3,ideal,healthy
39.2,Normal Breed,8.3,14,5272,6.7,3,46,1.3,14.2,4.4,3,ideal,healthy
38.5,Cross Breed,7.3,27,10566,3.8,5,83,3.2,13.7,4.7,4,ideal,healthy
39.2,Normal Breed,12.5,14,5004,6.1,2,54,1.4,16.4,3.1,3,Fresh blood in faeces,unhealthy
38.6,Normal Breed,11.3,17,10872,6.9,3,78,1.3,16.1,4.3,3,ideal,unhealthy
39.6,Normal Breed,24.4,22,5004,7.2,3,47,1.7,14.9,3.0,1,ideal,healthy
40.6,Cross Breed,5.1,27,5004,7.2,3,59,1.3,16.4,4.2,1,Black faeces,unhealthy
38.8,Normal Breed,18.7,31,10261,4.7,5,68,2.1,14.2,4.1,5,ideal,healthy
40.0,Cross Breed,12.0,15,5819,7.1,3,49,2.3,14.0,4.1,3,extremely firm,unhealthy
38.0,Normal Breed,13.1,21,11804,3.9,1,76,3.3,13.4,4.3,5,ideal,healthy
39.6,Cross Breed,5.1,18,5004,7.2,2,55,1.3,15.4,3.3,1,Black faeces,unhealthy
39.7,Cross Breed,15.3,14,5588,6.6,3,52,1.3,16.0,3.2,4,extremely firm,unhealthy
38.9,Normal Breed,5.1,14,5173,7.2,3,52,2.0,16.4,3.0,1,Fresh blood in faeces,unhealthy
39.8,Cross Breed,5.1,14,5004,7.2,5,50,2.1,14.1,3.2,3,extremely firm,unhealthy
39.9,Cross Breed,20.6,14,5156,7.2,5,53,1.8,16.4,3.1,3,Fresh blood in faeces,unhealthy
39.4,Cross Breed,13.0,14,5797,7.2,3,41,1.6,15.2,4.0,3,Fresh blood in faeces,unhealthy
40.3,Normal Breed,10.5,14,5004,7.2,3,50,2.0,16.4,3.0,2,Fresh blood in faeces,unhealthy
38.3,Normal Breed,12.6,30,11582,3.9,5,82,2.4,13.9,5.1,3,ideal,unhealthy
38.5,Normal Breed,9.3,34,12620,3.9,5,83,3.4,14.1,3.7,3,very liquid faeces,unhealthy
39.7,Normal Breed,5.1,16,5004,6.9,2,55,1.3,16.4,5.6,3,Fresh blood in faeces,unhealthy
38.5,Normal Breed,20.3,36,10486,3.5,3,73,3.5,14.9,5.6,3,ideal,healthy
38.1,Cross Breed,20.1,35,10359,3.8,5,83,4.4,14.8,6.5,2,ideal,healthy
38.4,Normal Breed,10.4,32,11402,4.0,5,75,3.8,13.5,6.3,2,ideal,healthy
38.5,Normal Breed,16.6,33,10599,4.1,2,83,2.8,14.0,5.0,3,ideal,healthy
38.6,Cross Breed,14.7,26,11652,4.4,5,59,3.1,12.8,6.0,2,ideal,healthy
39.5,Normal Breed,14.7,14,5004,6.5,2,49,1.3,15.9,4.5,2,Black faeces,unhealthy
38.6,Normal Breed,5.1,37,12569,4.2,3,83,3.6,14.9,4.3,2,extremely firm,unhealthy
38.5,Normal Breed,20.9,27,11394,3.9,5,49,2.4,13.7,4.3,3,ideal,unhealthy
39.3,Normal Breed,8.5,21,5505,6.7,3,53,1.7,16.4,4.1,3,Fresh blood in faeces,unhealthy
39.9,Normal Breed,5.1,14,5389,7.2,2,50,2.2,16.4,3.0,1,very liquid faeces,unhealthy
38.8,Normal Breed,10.2,33,10843,3.8,2,70,2.7,12.9,4.0,2,Black faece,healthy
38.7,Normal Breed,18.4,26,11879,2.9,5,83,3.6,14.7,6.2,2,ideal,healthy
38.7,Normal Breed,20.8,39,10209,4.8,2,52,3.0,14.6,5.7,2,ideal,healthy
40.3,Normal Breed,5.5,14,5004,7.1,1,47,1.3,15.4,6.8,2,ideal,unhealthy
38.5,Normal Breed,22.2,23,10171,4.3,3,65,2.5,14.2,5.0,3,ideal,healthy
38.5,Normal Breed,10.6,36,11237,4.3,2,53,2.3,16.4,5.4,2,extremely firm,unhealthy
38.1,Normal Breed,8.3,26,10119,3.6,5,83,1.9,13.9,6.5,2,ideal,healthy
39.4,Normal Breed,12.5,14,5454,7.1,5,52,1.3,16.4,3.7,2,Fresh blood in faeces,unhealthy
38.0,Cross Breed,10.8,45,10870,6.3,2,79,2.6,14.3,5.0,3,very liquid faeces,healthy
39.9,Cross Breed,5.1,16,5004,7.2,5,55,1.3,16.4,3.5,1,extremely firm,unhealthy
38.9,Normal Breed,10.9,46,10690,4.2,3,79,2.8,14.6,5.8,4,ideal,healthy
38.7,Normal Breed,24.0,45,11080,3.4,3,83,2.1,14.2,6.1,4,ideal,healthy
38.4,Normal Breed,10.7,40,11865,3.7,2,80,2.8,14.6,4.4,3,ideal,healthy
40.0,Normal Breed,7.8,20,9140,7.2,2,83,2.4,15.9,5.8,4,ideal,healthy
39.6,Cross Breed,12.1,16,11180,4.7,2,72,2.0,14.0,6.7,2,extremely firm,healthy
40.0,Cross Breed,5.1,16,5004,7.2,2,53,1.4,16.1,6.3,3,extremely firm,unhealthy
